method,topic,rank,node,pagerank
LLM Zero-shot,Topic_中国38个国家免签,1,中国,0.005286217429493486
LLM Zero-shot,Topic_中国38个国家免签,2,38个国家,0.003942080913760687
LLM Zero-shot,Topic_中国38个国家免签,3,全面互免签证协议,0.003157127668430189
LLM Zero-shot,Topic_中国38个国家免签,4,112%,0.0029970599174312836
LLM Zero-shot,Topic_中国38个国家免签,5,240小时,0.0029156629684212055
LLM Zero-shot,Topic_中国38个国家免签,6,1200%,0.0026615021907145622
LLM Zero-shot,Topic_中国38个国家免签,7,从未停歇,0.002384108552044527
LLM Zero-shot,Topic_中国38个国家免签,8,本科扩招,0.002384108552044527
LLM Zero-shot,Topic_中国38个国家免签,9,无期徒刑,0.002384108552044527
LLM Zero-shot,Topic_中国38个国家免签,10,中国式现代化道路的成功和启示,0.002384108552044527
LLM Zero-shot,Topic_中国加拿大毒贩死刑,1,死刑,0.010953562823530827
LLM Zero-shot,Topic_中国加拿大毒贩死刑,2,中国,0.005849105634743543
LLM Zero-shot,Topic_中国加拿大毒贩死刑,3,毒贩,0.002208230944396971
LLM Zero-shot,Topic_中国加拿大毒贩死刑,4,4名加拿大籍毒贩,0.001882275470281863
LLM Zero-shot,Topic_中国加拿大毒贩死刑,5,毒品,0.001790880786032055
LLM Zero-shot,Topic_中国加拿大毒贩死刑,6,加拿大,0.00171858277799213
LLM Zero-shot,Topic_中国加拿大毒贩死刑,7,双重国籍,0.0012090828622061175
LLM Zero-shot,Topic_中国加拿大毒贩死刑,8,HIP MEEKE,0.0010898910067470731
LLM Zero-shot,Topic_中国加拿大毒贩死刑,9,贩毒,0.001028909583802567
LLM Zero-shot,Topic_中国加拿大毒贩死刑,10,4名走私毒品的加拿大公民,0.0009629416226171384
LLM Zero-shot,Topic_中国发现世界最大金矿,1,重组,0.008555199235832782
LLM Zero-shot,Topic_中国发现世界最大金矿,2,中国,0.0053572998201652745
LLM Zero-shot,Topic_中国发现世界最大金矿,3,2024 世界 500 强榜单,0.0025363507339001396
LLM Zero-shot,Topic_中国发现世界最大金矿,4,韩国网友,0.0017576166894366246
LLM Zero-shot,Topic_中国发现世界最大金矿,5,西山派师姐苏安琪,0.0017576166894366246
LLM Zero-shot,Topic_中国发现世界最大金矿,6,新加坡共和国,0.0017576166894366246
LLM Zero-shot,Topic_中国发现世界最大金矿,7,中国发现世界最大金矿,0.0017270631197699696
LLM Zero-shot,Topic_中国发现世界最大金矿,8,六大市域中心之一,0.001608219270834512
LLM Zero-shot,Topic_中国发现世界最大金矿,9,黄金,0.0015004469652475643
LLM Zero-shot,Topic_中国发现世界最大金矿,10,830亿美元,0.0014849430321546321
LLM Zero-shot,Topic_中国核动力航母国防部回应,1,添衣别迟疑,0.004817299002542451
LLM Zero-shot,Topic_中国核动力航母国防部回应,2,大跳水,0.0026237074924561573
LLM Zero-shot,Topic_中国核动力航母国防部回应,3,媒体有关报道纯属猜测,0.0025727220335940754
LLM Zero-shot,Topic_中国核动力航母国防部回应,4,中国,0.0019300518244791405
LLM Zero-shot,Topic_中国核动力航母国防部回应,5,19%,0.00172799095917092
LLM Zero-shot,Topic_中国核动力航母国防部回应,6,与美军航母吨位相当,0.0017110232913527083
LLM Zero-shot,Topic_中国核动力航母国防部回应,7,签约,0.0017097110299202011
LLM Zero-shot,Topic_中国核动力航母国防部回应,8,vivo,0.0015269117374130095
LLM Zero-shot,Topic_中国核动力航母国防部回应,9,中国可能正在建造大型核动力航母,0.001493945238600309
LLM Zero-shot,Topic_中国核动力航母国防部回应,10,全球关注,0.0013892334443187794
LLM Zero-shot,Topic_中国黄金陈雄伟被查,1,陈雄伟,0.006680899341876856
LLM Zero-shot,Topic_中国黄金陈雄伟被查,2,中国黄金,0.00462857814276136
LLM Zero-shot,Topic_中国黄金陈雄伟被查,3,数量惊人的黄金珠宝,0.004021097819809084
LLM Zero-shot,Topic_中国黄金陈雄伟被查,4,12月23日,0.003879701969349636
LLM Zero-shot,Topic_中国黄金陈雄伟被查,5,被查,0.003532929285889234
LLM Zero-shot,Topic_中国黄金陈雄伟被查,6,严重违纪违法,0.0031978580472420697
LLM Zero-shot,Topic_中国黄金陈雄伟被查,7,反腐动态,0.003031941144166276
LLM Zero-shot,Topic_中国黄金陈雄伟被查,8,陈雄伟被查,0.0029655808121617088
LLM Zero-shot,Topic_中国黄金陈雄伟被查,9,陈雄伟涉嫌严重违纪违法,0.002683289542140662
LLM Zero-shot,Topic_中国黄金陈雄伟被查,10,中国黄金原董事长陈雄伟被查,0.0024453878178311464
LLM Zero-shot,Topic_中方巴拿马退出一带一路,1,巴拿马,0.011418613437470186
LLM Zero-shot,Topic_中方巴拿马退出一带一路,2,中国,0.0037575069756849515
LLM Zero-shot,Topic_中方巴拿马退出一带一路,3,巴拿马运河,0.003175704649318944
LLM Zero-shot,Topic_中方巴拿马退出一带一路,4,美国,0.002666784793625451
LLM Zero-shot,Topic_中方巴拿马退出一带一路,5,一带一路,0.0021702968617555
LLM Zero-shot,Topic_中方巴拿马退出一带一路,6,网路,0.0017737013691633086
LLM Zero-shot,Topic_中方巴拿马退出一带一路,7,中国红线,0.0017541322987055436
LLM Zero-shot,Topic_中方巴拿马退出一带一路,8,中方,0.0016148087699208384
LLM Zero-shot,Topic_中方巴拿马退出一带一路,9,国家,0.001592982997577381
LLM Zero-shot,Topic_中方巴拿马退出一带一路,10,北京,0.001592982997577381
LLM Zero-shot,Topic_住建部住宅层高标准调整,1,好房子,0.0032450777626352456
LLM Zero-shot,Topic_住建部住宅层高标准调整,2,不低于3米,0.003176884283213557
LLM Zero-shot,Topic_住建部住宅层高标准调整,3,住宅层高标准将调整为不低于3米,0.0025792894765954096
LLM Zero-shot,Topic_住建部住宅层高标准调整,4,风险提示,0.002212419034167654
LLM Zero-shot,Topic_住建部住宅层高标准调整,5,住建部政策,0.0021573515033025733
LLM Zero-shot,Topic_住建部住宅层高标准调整,6,暴涨百分之一百以上,0.0019003696925988635
LLM Zero-shot,Topic_住建部住宅层高标准调整,7,2.8米,0.0018153906248715304
LLM Zero-shot,Topic_住建部住宅层高标准调整,8,压制烂尾楼恐惧,0.0017412857145441853
LLM Zero-shot,Topic_住建部住宅层高标准调整,9,两米八,0.001566627081295344
LLM Zero-shot,Topic_住建部住宅层高标准调整,10,三米,0.0015577510127340775
LLM Zero-shot,Topic_全国流感病毒阳性率上升,1,流感病毒,0.003157128233796435
LLM Zero-shot,Topic_全国流感病毒阳性率上升,2,流感,0.0018213111882877091
LLM Zero-shot,Topic_全国流感病毒阳性率上升,3,全国流感病毒阳性率快速上升,0.0017766133290474597
LLM Zero-shot,Topic_全国流感病毒阳性率上升,4,甲流,0.0017648482623378516
LLM Zero-shot,Topic_全国流感病毒阳性率上升,5,肺炎支原体,0.001320476874940221
LLM Zero-shot,Topic_全国流感病毒阳性率上升,6,掩口鼻,0.001239885842935593
LLM Zero-shot,Topic_全国流感病毒阳性率上升,7,鼻病毒,0.0011003282066106431
LLM Zero-shot,Topic_全国流感病毒阳性率上升,8,游资领头羊,0.0009661448126770856
LLM Zero-shot,Topic_全国流感病毒阳性率上升,9,人偏肺病毒,0.0008850130616222207
LLM Zero-shot,Topic_全国流感病毒阳性率上升,10,99%以上为甲流,0.0008552353772899578
LLM Zero-shot,Topic_刘强东京东快递员退休金,1,尊严,0.003320165221015711
LLM Zero-shot,Topic_刘强东京东快递员退休金,2,中国2亿蓝领工人,0.0029895173219294186
LLM Zero-shot,Topic_刘强东京东快递员退休金,3,不公平,0.0020919333591863103
LLM Zero-shot,Topic_刘强东京东快递员退休金,4,京东家政,0.0020643149034990783
LLM Zero-shot,Topic_刘强东京东快递员退休金,5,刘强东,0.001293370485687473
LLM Zero-shot,Topic_刘强东京东快递员退休金,6,京东,0.0011287207920770042
LLM Zero-shot,Topic_刘强东京东快递员退休金,7,劳动者,0.0009031526211568918
LLM Zero-shot,Topic_刘强东京东快递员退休金,8,国家,0.0008787286413543375
LLM Zero-shot,Topic_刘强东京东快递员退休金,9,数十万公积金,0.0007754220738535658
LLM Zero-shot,Topic_刘强东京东快递员退休金,10,外卖平台,0.0007517369899322474
LLM Zero-shot,Topic_四川地震,1,四川省,0.0035671561289326767
LLM Zero-shot,Topic_四川地震,2,地震,0.0025881229216341336
LLM Zero-shot,Topic_四川地震,3,中国,0.0019333936886268353
LLM Zero-shot,Topic_四川地震,4,四川,0.0013323942279183626
LLM Zero-shot,Topic_四川地震,5,巧家县,0.0011971208590461817
LLM Zero-shot,Topic_四川地震,6,马路乡,0.0010559574745109142
LLM Zero-shot,Topic_四川地震,7,宁南县,0.000844212397708569
LLM Zero-shot,Topic_四川地震,8,牛棚,0.0007559852823739577
LLM Zero-shot,Topic_四川地震,9,昭通市,0.0007265762439291466
LLM Zero-shot,Topic_四川地震,10,跑马镇,0.0006559945516613821
LLM Zero-shot,Topic_微信提醒木马病毒,1,微信群,0.011887636358724977
LLM Zero-shot,Topic_微信提醒木马病毒,2,木马病毒下载链接,0.011715341130037768
LLM Zero-shot,Topic_微信提醒木马病毒,3,财务人员,0.005907894782419852
LLM Zero-shot,Topic_微信提醒木马病毒,4,抽查企业名单,0.005594276584323343
LLM Zero-shot,Topic_微信提醒木马病毒,5,木马病毒传播手法,0.00478752571126076
LLM Zero-shot,Topic_微信提醒木马病毒,6,大范围木马病毒传播,0.0045008033769659865
LLM Zero-shot,Topic_微信提醒木马病毒,7,福利活动,0.0040910799141734375
LLM Zero-shot,Topic_微信提醒木马病毒,8,文创产品,0.0040499513757104285
LLM Zero-shot,Topic_微信提醒木马病毒,9,加我为好友,0.0040499513757104285
LLM Zero-shot,Topic_微信提醒木马病毒,10,人工智能,0.003858703671857436
LLM Zero-shot,Topic_拜登告别演讲,1,美国,0.0022000377621796976
LLM Zero-shot,Topic_拜登告别演讲,2,拜登,0.00204379988983348
LLM Zero-shot,Topic_拜登告别演讲,3,告别演讲,0.0015568780892244456
LLM Zero-shot,Topic_拜登告别演讲,4,美国总统拜登发表告别演讲,0.0013000362770479725
LLM Zero-shot,Topic_拜登告别演讲,5,招兵买马,0.0012873614318948913
LLM Zero-shot,Topic_拜登告别演讲,6,台,0.0012711100870852474
LLM Zero-shot,Topic_拜登告别演讲,7,拜登告别演讲,0.0012343689141749358
LLM Zero-shot,Topic_拜登告别演讲,8,中国,0.0011171577113882841
LLM Zero-shot,Topic_拜登告别演讲,9,特朗普,0.0011114075766340634
LLM Zero-shot,Topic_拜登告别演讲,10,寡头政治,0.0009909965217091044
LLM Zero-shot,Topic_提高农村养老金标准,1,乡村振兴,0.0017610715714008155
LLM Zero-shot,Topic_提高农村养老金标准,2,提高,0.001641536322912703
LLM Zero-shot,Topic_提高农村养老金标准,3,20元,0.0015491613106138017
LLM Zero-shot,Topic_提高农村养老金标准,4,养老金,0.0013610957200514086
LLM Zero-shot,Topic_提高农村养老金标准,5,农民,0.0011081092896785805
LLM Zero-shot,Topic_提高农村养老金标准,6,政府工作报告,0.0009903290520659551
LLM Zero-shot,Topic_提高农村养老金标准,7,好事,0.0008959063744276434
LLM Zero-shot,Topic_提高农村养老金标准,8,无,0.0008862698184420703
LLM Zero-shot,Topic_提高农村养老金标准,9,医疗卫生服务水平,0.0007788188709417056
LLM Zero-shot,Topic_提高农村养老金标准,10,30元,0.0007777301856713198
LLM Zero-shot,Topic_提高城乡居民基础养老金,1,适当,0.009817884451532892
LLM Zero-shot,Topic_提高城乡居民基础养老金,2,城乡居民基础养老金,0.007998004934625354
LLM Zero-shot,Topic_提高城乡居民基础养老金,3,退休人员基本养老金,0.0050417760582389904
LLM Zero-shot,Topic_提高城乡居民基础养老金,4,养老金,0.0024070348926227636
LLM Zero-shot,Topic_提高城乡居民基础养老金,5,政府,0.0018360055446947224
LLM Zero-shot,Topic_提高城乡居民基础养老金,6,20元,0.0018304560127949212
LLM Zero-shot,Topic_提高城乡居民基础养老金,7,历年上涨金额,0.0016634553028609682
LLM Zero-shot,Topic_提高城乡居民基础养老金,8,提高城乡居民基础养老金,0.001588709930801552
LLM Zero-shot,Topic_提高城乡居民基础养老金,9,2025年,0.0015738577513516813
LLM Zero-shot,Topic_提高城乡居民基础养老金,10,提高,0.001361472047544457
LLM Zero-shot,Topic_特朗普上任三把火,1,特朗普,0.0034240133888585413
LLM Zero-shot,Topic_特朗普上任三把火,2,美国,0.0024011180303709265
LLM Zero-shot,Topic_特朗普上任三把火,3,特朗普计划的就职典礼,0.0012800324111874872
LLM Zero-shot,Topic_特朗普上任三把火,4,极端天气,0.0012195864362137994
LLM Zero-shot,Topic_特朗普上任三把火,5,黑影,0.0010634343342053377
LLM Zero-shot,Topic_特朗普上任三把火,6,中国,0.000992043100875327
LLM Zero-shot,Topic_特朗普上任三把火,7,美国飞机,0.0008770592447054332
LLM Zero-shot,Topic_特朗普上任三把火,8,火警,0.0008770592447016358
LLM Zero-shot,Topic_特朗普上任三把火,9,布朗克斯区一栋公寓,0.0008770592447009658
LLM Zero-shot,Topic_特朗普上任三把火,10,联合诉讼,0.0008030641719476665
LLM Zero-shot,Topic_特朗普中国商品加征10关税,1,下跌,0.0009244535010340159
LLM Zero-shot,Topic_特朗普中国商品加征10关税,2,美国,0.0009000538964875388
LLM Zero-shot,Topic_特朗普中国商品加征10关税,3,在19.3%的基础上,0.0008651677590234307
LLM Zero-shot,Topic_特朗普中国商品加征10关税,4,超过3%,0.0008430249543108125
LLM Zero-shot,Topic_特朗普中国商品加征10关税,5,特朗普,0.0008277260358132216
LLM Zero-shot,Topic_特朗普中国商品加征10关税,6,10%,0.0007924366805861719
LLM Zero-shot,Topic_特朗普中国商品加征10关税,7,关税,0.0007760507073270353
LLM Zero-shot,Topic_特朗普中国商品加征10关税,8,通货膨胀,0.0007701453041861095
LLM Zero-shot,Topic_特朗普中国商品加征10关税,9,金融精英和卖方,0.0007697392622599293
LLM Zero-shot,Topic_特朗普中国商品加征10关税,10,经济增长,0.0007293649458676849
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,1,美国,0.0021897843420800363
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,2,特朗普,0.0016172075137884374
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,3,巴拿马运河,0.0015869588944104989
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,4,中国,0.0010722292240709452
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,5,巴拿马,0.0008535334448852429
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,6,格陵兰岛,0.0007152014961025015
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,7,加拿大,0.0005844260964405984
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,8,俄罗斯,0.0004397783340127371
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,9,其他人,0.00042377858262491216
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,10,亚马逊李赖谷歌辉瑞等等企业的创始人或者是首星,0.00041190346849613184
LLM Zero-shot,Topic_特朗普政策普京,1,特朗普,0.0023868553631962606
LLM Zero-shot,Topic_特朗普政策普京,2,美国,0.0011283493886602694
LLM Zero-shot,Topic_特朗普政策普京,3,乌克兰,0.0009398197812973542
LLM Zero-shot,Topic_特朗普政策普京,4,俄罗斯,0.0009240243076266868
LLM Zero-shot,Topic_特朗普政策普京,5,特朗普就职典礼,0.0008044809199778415
LLM Zero-shot,Topic_特朗普政策普京,6,中国,0.0007599825221979389
LLM Zero-shot,Topic_特朗普政策普京,7,拜登,0.0006184568884014372
LLM Zero-shot,Topic_特朗普政策普京,8,大国博弈,0.0006010787629987623
LLM Zero-shot,Topic_特朗普政策普京,9,普京,0.0005447386082081337
LLM Zero-shot,Topic_特朗普政策普京,10,网络,0.00045795410421567174
LLM Zero-shot,Topic_特朗普新政美国风险,1,美国,0.0021381660463607485
LLM Zero-shot,Topic_特朗普新政美国风险,2,特朗普,0.0017577053719677429
LLM Zero-shot,Topic_特朗普新政美国风险,3,中国,0.001459569613739056
LLM Zero-shot,Topic_特朗普新政美国风险,4,马斯克,0.0011997846880886977
LLM Zero-shot,Topic_特朗普新政美国风险,5,撕裂,0.0010557529585586377
LLM Zero-shot,Topic_特朗普新政美国风险,6,股市表现,0.0010387893017477611
LLM Zero-shot,Topic_特朗普新政美国风险,7,菲律宾,0.000979821742467791
LLM Zero-shot,Topic_特朗普新政美国风险,8,世界,0.0009643111539866965
LLM Zero-shot,Topic_特朗普新政美国风险,9,翻几页才能找到,0.0009557723692677597
LLM Zero-shot,Topic_特朗普新政美国风险,10,高,0.0009382132887410576
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,1,美国,0.0021242862370925014
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,2,格陵兰岛,0.002001842440252575
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,3,特朗普,0.0019666342593866117
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,4,俄罗斯,0.00175386139197485
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,5,日本才有未来,0.0012568949924008606
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,6,愿意为欧洲做任何事但不包括向乌克兰部署维和部队,0.0012405522190085654
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,7,同等重要,0.0012113931241127455
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,8,全部,0.001204501983584385
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,9,叙利亚,0.0010812101784336875
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,10,台海和平稳定有保障,0.0010795278341138926
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,1,特朗普,0.0034919446130322277
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,2,俄罗斯,0.001629966739629908
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,3,乌克兰,0.0016181375999059651
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,4,美国,0.0010295228919811742
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,5,欧亚大陆,0.0008397711015239304
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,6,特朗普万斯团队,0.0008397711015239304
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,7,普京,0.0008168325157043837
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,8,俄乌冲突,0.0007967779364498424
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,9,泽连斯基,0.0007705767176824248
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,10,和平协议,0.0007099839901878744
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,1,特朗普,0.006558319673203217
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,2,特朗普封口费案宣判,0.006023075573410239
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,3,无条件释放,0.003982613537115884
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,4,特朗普封口费案,0.0037915183591296386
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,5,封口费案,0.003725562792365059
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,6,延期,0.0034188121999839537
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,7,拉斯维加斯,0.0031216086394171673
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,8,34项罪名成立,0.0027704395818749002
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,9,总统自由勋章,0.002758359843168872
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,10,双重挑战,0.002758359843168872
LLM Zero-shot,Topic_特朗普美国国际开发署意味,1,特朗普,0.004094768224081222
LLM Zero-shot,Topic_特朗普美国国际开发署意味,2,美国国际开发署,0.0015209492570538684
LLM Zero-shot,Topic_特朗普美国国际开发署意味,3,马斯克,0.0014675010572598474
LLM Zero-shot,Topic_特朗普美国国际开发署意味,4,乌克兰,0.0014392469451677092
LLM Zero-shot,Topic_特朗普美国国际开发署意味,5,美国,0.0013227705504954997
LLM Zero-shot,Topic_特朗普美国国际开发署意味,6,美国内部矛盾,0.0010781618422149525
LLM Zero-shot,Topic_特朗普美国国际开发署意味,7,世界地澎,0.0010544878881204938
LLM Zero-shot,Topic_特朗普美国国际开发署意味,8,联合演习,0.00091959252503268
LLM Zero-shot,Topic_特朗普美国国际开发署意味,9,在美国,0.0007167520293490033
LLM Zero-shot,Topic_特朗普美国国际开发署意味,10,也门胡塞武装,0.0007160808025101531
LLM Zero-shot,Topic_特朗普赢得美国总统,1,特朗普,0.0035415562863630734
LLM Zero-shot,Topic_特朗普赢得美国总统,2,美国政坛,0.0009255078121363275
LLM Zero-shot,Topic_特朗普赢得美国总统,3,俄罗斯,0.0008821029405966306
LLM Zero-shot,Topic_特朗普赢得美国总统,4,拜登,0.0008080550199654892
LLM Zero-shot,Topic_特朗普赢得美国总统,5,6-8度,0.0007923282187611417
LLM Zero-shot,Topic_特朗普赢得美国总统,6,美国,0.0007113281244726919
LLM Zero-shot,Topic_特朗普赢得美国总统,7,中国,0.0006791458661387761
LLM Zero-shot,Topic_特朗普赢得美国总统,8,马斯克,0.0006226600684386889
LLM Zero-shot,Topic_特朗普赢得美国总统,9,是特朗普宽松经济的三大核心政策之一,0.0006094985397700096
LLM Zero-shot,Topic_特朗普赢得美国总统,10,复杂多变,0.0005882870600028949
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,1,特朗普,0.003361383741449012
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,2,乌克兰,0.0029243780293719606
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,3,最后通牒,0.0023899924411699075
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,4,美国,0.0022060813638238334
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,5,美丽间,0.0018653183794934789
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,6,香港特别行政区,0.001691990419333954
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,7,联合国人权理事会,0.0015943840226862636
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,8,中国,0.0015232566313473448
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,9,以色列,0.0011613295003442734
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,10,战备检查,0.0011167136767604097
LLM Zero-shot,Topic_特朗普马斯克起诉,1,特朗普,0.003599115541236287
LLM Zero-shot,Topic_特朗普马斯克起诉,2,马斯克,0.003178881850522388
LLM Zero-shot,Topic_特朗普马斯克起诉,3,美国,0.0009350530625457192
LLM Zero-shot,Topic_特朗普马斯克起诉,4,诉讼,0.000802397959788102
LLM Zero-shot,Topic_特朗普马斯克起诉,5,特朗普政府,0.0006291358448093962
LLM Zero-shot,Topic_特朗普马斯克起诉,6,政府效率部,0.0005417716547344925
LLM Zero-shot,Topic_特朗普马斯克起诉,7,明人明言,0.0005104424932981495
LLM Zero-shot,Topic_特朗普马斯克起诉,8,香港特别行政区,0.0005104424932981495
LLM Zero-shot,Topic_特朗普马斯克起诉,9,美国国际开发署,0.0005053462899349879
LLM Zero-shot,Topic_特朗普马斯克起诉,10,事件,0.00046414408625693393
LLM Zero-shot,Topic_移民入境美国,1,美国,0.00309031822458887
LLM Zero-shot,Topic_移民入境美国,2,非法移民,0.0015783743891740407
LLM Zero-shot,Topic_移民入境美国,3,特朗普,0.0008185522761066981
LLM Zero-shot,Topic_移民入境美国,4,美国公民身份的特权,0.0006477398871277814
LLM Zero-shot,Topic_移民入境美国,5,大量德国人失业,0.0005883338259780786
LLM Zero-shot,Topic_移民入境美国,6,未来几天密集行政令,0.0005750010259323972
LLM Zero-shot,Topic_移民入境美国,7,移民,0.0005564284309872764
LLM Zero-shot,Topic_移民入境美国,8,美国和俄罗斯,0.00048681090888803787
LLM Zero-shot,Topic_移民入境美国,9,F35,0.0004411543749428106
LLM Zero-shot,Topic_移民入境美国,10,中国,0.0004353171578860585
LLM Zero-shot,Topic_金价大涨历史新高,1,833元/克,0.0027491138891465065
LLM Zero-shot,Topic_金价大涨历史新高,2,黄金,0.002572848403333161
LLM Zero-shot,Topic_金价大涨历史新高,3,金价走高,0.002357940415052092
LLM Zero-shot,Topic_金价大涨历史新高,4,牛市,0.0021314715616290096
LLM Zero-shot,Topic_金价大涨历史新高,5,金价上涨,0.0020697073288772597
LLM Zero-shot,Topic_金价大涨历史新高,6,再创历史新高,0.0020440358110333135
LLM Zero-shot,Topic_金价大涨历史新高,7,大涨,0.0018148234531474854
LLM Zero-shot,Topic_金价大涨历史新高,8,大国经济体央行重视黄金储备问题,0.001753392962714532
LLM Zero-shot,Topic_金价大涨历史新高,9,国际金价,0.0015138292341115125
LLM Zero-shot,Topic_金价大涨历史新高,10,涨至833元每克,0.0015138292341115125
